#{"t_start": 1653251033.5672204, "env_id": "Pendulum-v1"}
r,l,t
-1449.361661,200,2.579043
-1071.82872,200,6.789516
-1875.367873,200,11.824117
-1449.748085,200,17.974411
-1483.049039,200,24.226212
-1583.294242,200,30.226866
-1318.134871,200,37.11709
-1311.217446,200,45.055605
-1219.311991,200,52.678861
-1159.48809,200,59.493091
-983.552531,200,66.885863
-524.299557,200,74.045395
-648.69624,200,81.215712
-263.067662,200,88.486307
-134.439931,200,94.715641
-1349.859147,200,101.240882
-398.486882,200,110.082783
-352.026973,200,119.150969
-250.239819,200,127.942125
-128.754427,200,135.567541
-121.488343,200,143.238114
-121.074902,200,151.078794
-120.376769,200,159.480905
-932.897048,200,167.877655
-114.481375,200,175.647727
-1.905625,200,183.191348
-116.968349,200,189.723045
-119.673733,200,196.133729
-1028.352403,200,202.796454
-126.580462,200,209.135235
-119.00707,200,216.039006
-230.204101,200,222.774952
-227.724693,200,230.776043
-2.059183,200,238.171242
-124.735675,200,245.533015
-231.301346,200,252.446155
-335.121049,200,261.772384
-121.040168,200,269.991219
-123.216429,200,278.22044
-122.077737,200,285.091259
-235.913231,200,291.574822
-239.673435,200,298.695206
-124.460198,200,306.697126
-1.684333,200,314.07361
-127.649256,200,321.350953
-124.277148,200,327.625185
-118.990803,200,333.770266
-122.792562,200,340.176913
-245.037719,200,346.614005
-123.767582,200,352.856725
-115.409949,200,359.615263
-123.565792,200,366.163117
-118.440036,200,372.366112
-115.357454,200,378.584339
-233.619708,200,385.477159
-124.766012,200,392.761443
-1.005931,200,398.58592
-114.943343,200,404.36466
-2.201781,200,411.921139
-119.137905,200,420.553191
-228.905052,200,427.17268
-126.848205,200,433.631969
-226.971935,200,440.785094
-1.650753,200,449.255744
-307.942907,200,456.517791
-227.332504,200,462.787169
-231.005315,200,468.652102
-126.575569,200,474.424819
-1.112938,200,480.252816
-125.414837,200,486.072309
-123.289776,200,491.919855
-120.036463,200,497.718108
-228.689087,200,503.459078
-122.889509,200,509.281437
-125.678402,200,515.067594
-1.226878,200,521.580957
-115.266185,200,527.416167
-126.497728,200,533.144902
-123.812285,200,538.947409
-1.355347,200,545.705394
-230.633334,200,552.159352
-121.615868,200,558.024558
-239.979035,200,564.900858
-249.89359,200,571.992221
-117.946728,200,578.903641
-122.625679,200,585.933781
-125.833759,200,592.523083
-127.671528,200,598.886119
-118.15482,200,605.169319
-248.529692,200,614.151839
-245.201048,200,623.485323
-2.793377,200,630.691333
-118.577712,200,636.636966
-115.821351,200,642.516108
-222.172275,200,650.96011
-119.598292,200,659.566986
-248.820878,200,667.079096
-3.375843,200,674.231592
-116.648343,200,682.281482
-117.850861,200,689.617642
